NPC_BEFR_GREETING_0185671-7cc0-4745-ada8-a32aa6e1a811	*Gli occhi di Befr si illuminano appena ti scorge; sotto la barba gli sboccia un sorriso, come se stesse salutando un vecchio compagno.*<x1/><x2/>"Ho ho! Amico mio, hai l'aria di chi sta per lasciare il villaggio e andare dritto a cacciarsi nei guai. Avresti un po' di tempo per aiutare un vecchio con una piccola faccenda, mm?"
NPC_BEFR_GREETING_0eea57b1-7cc0-4745-ada8-a32aa6e1a811	*Fa scorrere un pannello laccato del suo carro, scoprendo uno scaffale di ninnoli scintillanti.*<x1/><x2/>"Ho ho! Eccoti a casa, amico. Che bel posto hai qui, ricco di angoli da scoprire e di mistero."
NPC_BEFR_GREETING_877f3d34-f6c2-402f-87c0-3a3c8304cf01	*Befr spalanca le braccia per accoglierti, raggiante di gioia.*<x1/><x2/>"Ma guarda, eccoti di nuovo, amico mio! Arrivi proprio al momento opportuno. Pare che uno dei giovani virgulti sia scomparso dal villaggio."
NPC_BEFR_GREETING_M8n7b-6c97-4438-9b45-1d973e69f2a0	"Eccoti a casa, amico mio! Come può esserti d'aiuto il vecchio Befr, oggi?"
NPC_BEFR_GREETING_c1ad0d31-6c97-4438-9b45-1d973e69f2a0	*Gli occhi del vecchio scintillano e il viso gli si apre in un ampio sorriso; mentre ti avvicini, ha già teso le mani per accoglierti.*<x1/><x2/>"Ho ho! Salve, amico mio. Che splendida giornata per incontrarsi. Dimmi, cosa ti porta da queste parti?"
NPC_BEFR_PLAYER_00b75769-e1d2-400a-9b24-b23e3db1f49e_HEROIC	È utile alla nostra causa, ma temo che i suoi difetti possano ostacolarci.
NPC_BEFR_PLAYER_00b75769-e1d2-400a-9b24-b23e3db1f49e_JOKER	Fa comodo, certo. Vediamo se i suoi punti deboli ci mettono lo zampino.
NPC_BEFR_PLAYER_00b75769-e1d2-400a-9b24-b23e3db1f49e_SCHOLAR	Utile, sì. Ma le sue debolezze hanno un costo che non abbiamo ancora valutato.
NPC_BEFR_PLAYER_00b75769-e1d2-400a-9b24-b23e3db1f49e_STOIC	Ha la sua utilità. Ma le sue debolezze possono creare problemi.
NPC_BEFR_PLAYER_050bf0e5-86b1-463d-9cfd-a1b14ab38011_BASE	Cos'hanno di speciale le sue canzoni?
NPC_BEFR_PLAYER_0937c433-9884-41f4-b6bf-dbf84b3bcf93_HEROIC	A quanto pare, è rimasto intrappolato nella foresta per tutto questo tempo.
NPC_BEFR_PLAYER_0937c433-9884-41f4-b6bf-dbf84b3bcf93_JOKER	Bloccato nella foresta per tutto questo tempo, a quanto pare. Bel soggiorno.
NPC_BEFR_PLAYER_0937c433-9884-41f4-b6bf-dbf84b3bcf93_SCHOLAR	Dunque è rimasto bloccato nella foresta per tutto questo tempo. Mi chiedo da cosa.
NPC_BEFR_PLAYER_0937c433-9884-41f4-b6bf-dbf84b3bcf93_STOIC	Sembra sia rimasto bloccato nella foresta per tutto questo tempo.
NPC_BEFR_PLAYER_0d28bfff-b850-4a7f-8089-3926b84801de_HEROIC	La speranza si regge sulle proprie gambe. Essere salvati è tutt'altra cosa.
NPC_BEFR_PLAYER_0d28bfff-b850-4a7f-8089-3926b84801de_JOKER	Aspettare i soccorsi e chiamarla speranza? Contabilità creativa.
NPC_BEFR_PLAYER_0d28bfff-b850-4a7f-8089-3926b84801de_SCHOLAR	Chiamare speranza ciò che dipende dall'essere salvati è improprio. Era dipendenza.
NPC_BEFR_PLAYER_0d28bfff-b850-4a7f-8089-3926b84801de_STOIC	Aspettare che qualcun altro ti salvi non è speranza.
NPC_BEFR_PLAYER_108a49bc-2808-4db8-bf28-0709a961c49a_HEROIC	Ore preziose sprecate. Quel pastore non durerà a lungo, là fuori.
NPC_BEFR_PLAYER_108a49bc-2808-4db8-bf28-0709a961c49a_JOKER	Un ottimo uso del mio tempo. Il pastore sarà morto prima che finisca la stagione.
NPC_BEFR_PLAYER_108a49bc-2808-4db8-bf28-0709a961c49a_SCHOLAR	Fatica sprecata. Quel pastore è un morto che se la prende comoda.
NPC_BEFR_PLAYER_108a49bc-2808-4db8-bf28-0709a961c49a_STOIC	Un'enorme perdita di tempo. Quel pastore morirà presto.
NPC_BEFR_PLAYER_129cf084-b04d-43a3-9ab4-5f488e9351a4_HEROIC	Come sei venuto a sapere del Santuario?
NPC_BEFR_PLAYER_129cf084-b04d-43a3-9ab4-5f488e9351a4_JOKER	I segreti del Santuario ti sono piovuti in grembo?
NPC_BEFR_PLAYER_129cf084-b04d-43a3-9ab4-5f488e9351a4_SCHOLAR	L'esistenza del Santuario non è di dominio pubblico. Come ne sei venuto a conoscenza?
NPC_BEFR_PLAYER_129cf084-b04d-43a3-9ab4-5f488e9351a4_STOIC	Come sai del Santuario?
NPC_BEFR_PLAYER_1c1ab19b-e276-4c91-8b9a-c96a11703b5a_HEROIC	Mi spieghi come hai perso gli attrezzi nella foresta?
NPC_BEFR_PLAYER_1c1ab19b-e276-4c91-8b9a-c96a11703b5a_JOKER	Attrezzi che svaniscono nella foresta. Questa me la devi raccontare.
NPC_BEFR_PLAYER_1c1ab19b-e276-4c91-8b9a-c96a11703b5a_SCHOLAR	Perdere degli attrezzi richiede una serie di errori. Qual è stato il primo?
NPC_BEFR_PLAYER_1c1ab19b-e276-4c91-8b9a-c96a11703b5a_STOIC	Come hai perso gli attrezzi nella foresta?
NPC_BEFR_PLAYER_1cb0bafe-5e84-4aa7-8556-430b353de796_HEROIC	Quale scopo spera di raggiungere Sylbos con tutto questo?
NPC_BEFR_PLAYER_1cb0bafe-5e84-4aa7-8556-430b353de796_JOKER	Allora, cosa ci sta architettando Sylbos?
NPC_BEFR_PLAYER_1cb0bafe-5e84-4aa7-8556-430b353de796_SCHOLAR	Quale impiego intende farne Sylbos?
NPC_BEFR_PLAYER_1cb0bafe-5e84-4aa7-8556-430b353de796_STOIC	Cosa sta cercando di farci Sylbos?
NPC_BEFR_PLAYER_1d5614fc-4336-4478-b529-43ecd01fb2ee_HEROIC	Lo credo anch'io. Se offri fiducia per primo, la vita ti segue.
NPC_BEFR_PLAYER_1d5614fc-4336-4478-b529-43ecd01fb2ee_JOKER	Lo credo anch'io. Prima fidarsi, poi fare domande: si vive meglio.
NPC_BEFR_PLAYER_1d5614fc-4336-4478-b529-43ecd01fb2ee_SCHOLAR	Lo credo anch'io. La fiducia concessa per primi tende a essere ricambiata.
NPC_BEFR_PLAYER_1d5614fc-4336-4478-b529-43ecd01fb2ee_STOIC	Lo credo anch'io. Con la fiducia si vive meglio.
NPC_BEFR_PLAYER_1db88104-f433-4856-9164-ff2b8381f284_BASE	Cosa vogliono le Iniquità?
NPC_BEFR_PLAYER_21adfadf-968b-44e1-9a1f-96b206fd7331_HEROIC	La fiducia va guadagnata, e non so se lui se la sia già meritata.
NPC_BEFR_PLAYER_21adfadf-968b-44e1-9a1f-96b206fd7331_JOKER	Fidarsi di lui su due piedi potrebbe essere troppo perfino per me.
